19,14,,,,,,,,,,,,,,,,,
-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,99,99,99,99,-1,99,99,99,99,99,99,99,99,99,99,99,-1
-1,-1,99,22,22,99,-1,99,99,99,99,99,99,99,99,99,99,99,-1
-1,-1,99,99,99,99,-1,99,99,-2,-2,99,99,22,22,99,99,99,-1
-1,-1,-1,99,99,-1,-1,99,99,-2,-2,99,99,22,22,99,99,99,-1
-1,99,99,99,99,99,99,99,99,-2,-2,99,99,99,99,99,99,99,-1
-1,99,22,1,99,99,99,99,99,-2,-2,99,99,99,99,99,99,99,-1
-1,99,99,99,99,99,99,99,99,-2,-2,99,99,99,99,99,99,99,-1
-1,99,99,99,99,99,99,99,99,-2,-2,99,99,99,99,99,99,99,-1
-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,22,22,-2,-2,-2
-1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,-1
-1,99,0,1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,-1
-1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
